도로명주소,위도,경도,설치장소,동시사용가능대수,관리기관명,관리기관전화번호
서울특별시 강남구 테헤란로 340,37.504511,127.048999,선릉역 개찰구 밖 화장실 사이,2,선릉역,02-6110-2201
서울특별시 강남구 테헤란로 8길 36,37.496458,127.032019,역삼주간보호센터 2층 입구,2,역삼주간보호센터,02-518-2270
서울특별시 강남구 테헤란로 8길 36,37.49649864,127.032067,굿잡자립센터 보조공학 서비스센터 안쪽,2,굿잡자립센터,02-518-2209
서울특별시 강남구 학동로 426,37.51796636,127.0470611,강남구청 1층 민원실,2,강남구청 사회복지과,02-3423-5888
서울특별시 강동구 고덕로 201,37.555751,127.148445,시립서울장애인종합복지관 장애인복지시설,1,강동구청 장애인복지과,02-3425-5695
서울특별시 강동구 상암로 369,37.546063,127.163582,주몽재활원 재활의학과,1,강동구청 장애인복지과,02-3425-5693
서울특별시 강동구 아리수로 93길 41,37.566168,127.173279,홀트강동복지관 장애인종합복지관,1,강동구청 장애인복지과,02-3425-5694
서울특별시 강서구 강서로 466,37.5668615,126.8414152,맑은장애인자립생활센터,2,맑은장애인자립생활센터,02-2605-0420
서울특별시 강서구 강서로 47길 54,37.5530829,126.833162,발산1동 주민센터 1층,2,발산1동 주민센터,02-2600-7895
서울특별시 강서구 강서로 68길 36,37.564008,126.842365,등촌1종합사회복지관 1층,2,등촌1종합사회복지관,02-2658-1010
서울특별시 강서구 공항대로 561,37.5496168,126.868233,강서구보건소 1층,2,강서구보건소,02-2600-5807
서울특별시 강서구 공항대로 41길 51,37.5601978,126.8457639,남은자장애인자립생활센터,2,남은자장애인자립생활센터,02-3664-0874
서울특별시 강서구 공항대로 43길 104,37.560186,126.850727,등촌7종합사회복지관 1층,2,등촌7종합사회복지관,02-2658-6521
서울특별시 강서구 금낭화로 132,37.57700464,126.8126306,방화역 지하1층 핸드폰충전기 옆,2,방화역,02-6311-5101
서울특별시 강서구 마곡중앙5로 2,37.566878,126.827144,마곡나루역 지하1층 휴게공간,2,마곡나루역,02-2656-0905
서울특별시 강서구 방화대로 45길 69,37.5741667,126.8125535,강서뇌성마비복지관 지하 2층,2,강서뇌성마비복지관,02-2662-3491
서울특별시 강서구 방화대로 45길 69,37.5741667,126.8125535,강서뇌성마비복지관 5층,2,강서뇌성마비복지관,02-2662-3491
서울특별시 강서구 방화대로 48길 40,37.574812,126.819506,방화2종합사회복지관 1층,2,방화2종합사회복지관,02-2662-6662
서울특별시 강서구 방화대로 7가길 11,37.5568445,126.8156863,샬롬의 집 1층,2,샬롬의집,02-2662-2488
서울특별시 강서구 방화동로 126,37.5719051,126.8119182,누리장애인자립생활센터,2,누리장애인자립생활센터,02-2064-0896
서울특별시 강서구 송정로 45,37.558816,126.81015,공항동 주민센터 1층,2,공항동 주민센터,02-2600-7935
서울특별시 강서구 양천로 22,37.5722225,126.805913,개화산역 지하 1층 대합실 만남의장소 의자 옆,2,개화산역,02-6311-5111
서울특별시 강서구 양천로 341,37.56876047,126.8408183,양천향교역 지하 1층 변전실 앞,2,양천향교역,02-2656-0906
서울특별시 강서구 양천로 485,37.56155561,126.8543884,가양역 지하 1층 엘리베이터 옆,2,가양역,02-2656-0907
서울특별시 강서구 양천로 551-24,37.5588155,126.862182,강서길라장애인자립생활센터 1층 현관,2,강서길라장애인자립생활센터,02-3662-0946
서울특별시 강서구 양천로 47길 36,37.5721747,126.838302,겸재정선미술관 2층,2,겸재정선미술관,02-2659-2206
서울특별시 강서구 초록마을로 15길 12,37.5415691,126.851313,강서구립봉제산노인복지센터 1층,2,강서구립봉제산노인복지센터,02-2605-1553
서울특별시 강서구 하늘길 77,37.561914,126.801262,김포공항역 지하 1층 무인발매기 앞 공간,2,김포공항역,02-2656-0902
서울특별시 강서구 허준로 209,37.561944,126.861493,가양7종합사회복지관 1층,2,가양7종합사회복지관,02-2668-8600
서울특별시 강서구 허준로 65,37.5691778,126.848961,기쁜우리복지관 1층,2,기쁜우리체육센터,02-3663-8114
서울특별시 강서구 화곡로 302,37.550731,126.850032,강서구청 복지지원센터 1층,2,강서구청 복지지원센터,02-2600-6696
서울특별시 강서구 화곡로 63길 96,37.558841,126.8479014,등촌3동 주민센터 1층,2,등촌3동 주민센터,02-2600-7445
서울특별시 관악구 관악로 1,37.4602626,126.9535979,관악산 무장애숲길 관리사무소 앞,2,관악구청 공원녹지과,02-879-6521
서울특별시 관악구 관악로 145,37.478321,126.9512138,관악구보건소 1층 민원실,2,관악구보건소,02-879-7106
서울특별시 관악구 관악로 40길 39,37.49184654,126.9586273,청림동 주민센터 2층 민원실 입구,2,청림동 주민센터,02-879-4321
서울특별시 관악구 구암길 38,37.4894892,126.948147,성현동 주민센터 1층 민원실 출입구 옆,2,성현동 주민센터,02-879-4261
서울특별시 관악구 낙성대로 3길 37,37.473014,126.9603062,관악구민체육센터 1층 로비,2,관악구민체육센터,02-870-7625
서울특별시 관악구 낙성대로 4가길 5,37.476257,126.9583755,낙성대동 주민센터 1층 출입구,2,낙성대동 주민센터,02-879-4411
서울특별시 관악구 난곡로 249,37.4761356,126.9155405,미성동 주민센터 1층 출입구 옆,2,미성동 주민센터,02-879-4591
서울특별시 관악구 난곡로 67,37.461481,126.918785,난향동 주민센터 1층 출입구 우측,2,난향동 주민센터,02-879-4651
서울특별시 관악구 난곡로 30길 40,37.4708861,126.9216465,난곡동 주민센터 1층 민원실,2,난곡동 주민센터,02-879-4621
서울특별시 관악구 남부순환로 1914,37.477376,126.9618524,장애인종합복지관 1층 지상주차장,2,관악구장애인종합복지관,02-877-0750
서울특별시 관악구 남부순환로 1914,37.477376,126.9618524,장애인종합복지관 8층 장애인단체연합회 사무실 앞,3,관악구장애인종합복지관,02-877-0751
서울특별시 관악구 남부순환로 246가길 20,37.4750784,126.965242,인헌동 주민센터 1층 복도,2,인헌동 주민센터,02-879-4447
서울특별시 관악구 남현1가길 29,37.4745458,126.9778675,남현동 주민센터 2층 복지상담실,2,남현동 주민센터,02-879-4471
서울특별시 관악구 봉천로 279-8,37.4881304,126.932773,보라매동 주민센터 1층 출입구,2,보라매동 주민센터,02-879-4201
서울특별시 관악구 봉천로 33나길 30,37.4852453,126.9423969,은천동 주민센터 지하 1층 식당,2,은천동 주민센터,02-879-4231
서울특별시 관악구 신림동길 14,37.4873546,126.927102,신림동 주민센터 1층 사회복지팀 접수대 유리창 아래,2,신림동 주민센터,02-879-4501
서울특별시 관악구 신림로 111,37.470558,126.9369434,대학동 주민센터 1층 출입구,2,대학동 주민센터,02-879-4801
서울특별시 관악구 신림로 282,37.4797317,126.9313649,서원동 주민센터 1층 사무실 출입구 오른쪽 하단 설치,2,서원동 주민센터,02-879-4681
서울특별시 관악구 신림로 29길 6,37.4749555,126.9349897,서림동 주민센터 1층 출입구 좌측,2,서림동 주민센터,02-879-4741
서울특별시 관악구 쑥고개로 44,37.4789663,126.941634,청룡동 주민센터 내 복도 (청룡동 안내판 아래),2,청룡동 주민센터,02-879-4381
서울특별시 관악구 양녕로 6다길 7,37.484152,126.9497279,중앙동 주민센터 지하 1층 입구 내 좌측,2,중앙동 주민센터,02-879-4317
서울특별시 관악구 조원로 142,37.4853658,126.9180914,신사동 주민센터 1층 민원실 내 입구,2,신사동 주민센터,02-879-4531
서울특별시 관악구 조원로 12길 25,37.4825228,126.9077834,조원동 주민센터 1층 사무실 내 상담실 옆,2,조원동 주민센터,02-879-4566
서울특별시 관악구 행운1길 43,37.4806052,126.957016,행운동 주민센터 지하 1층 주차장 옆,2,행운동 주민센터,02-879-4351
서울특별시 관악구 호암로 589,37.4700679,126.9329507,삼성동 주민센터 1층 복지상담실 옆,2,삼성동 주민센터,02-879-4771
서울특별시 광진구 긴고랑로 110,37.559373,127.0871138,중곡보건지소 2층 복도 휴게실,2,광진구청 사회복지장애인과,02-450-7097
서울특별시 광진구 아차산로 243,37.54041925,127.0691712,건대입구역 2호선 개찰구 안 화장실 맞은편,2,광진구청 사회복지장애인과,02-450-7097
서울특별시 광진구 워커힐로 93,37.550913,127.097456,정립회관 1층 본관 휴게실,2,광진구청 사회복지장애인과,02-450-7097
서울특별시 광진구 워커힐로 93,37.550913,127.097456,정립회관 2층 프로그램실 맞은편,2,광진구청 사회복지장애인과,02-450-7097
서울특별시 광진구 워커힐로 93,37.550913,127.097456,정립회관 3층 경사로 계단,1,광진구청 사회복지장애인과,02-450-7097
서울특별시 광진구 자양로 117,37.5383742,127.0822077,광진구청 민원복지동 1층 민원여권과 우측 출입구,2,광진구청 사회복지장애인과,02-450-7097
서울특별시 광진구 천호대로 119길 6,37.555124,127.086126,한국뇌병변장애인인권협회 광진IL센터 401호,2,광진구청 사회복지장애인과,02-450-7097
서울특별시 광진구 자양로 209,37.5460025,127.086046,광진장애인회관 본관,3,광진구청 사회복지장애인과,02-450-7097
서울특별시 광진구 천호대로 550,37.556761,127.079125,군자역 7번 출구 지상용 엘리베이터 지하 출입구,2,광진구청 사회복지장애인과,02-450-7097
서울특별시 구로구 가마산로 245,37.49582991,126.8879073,구로구청 본관 1층,2,구로구청 사회복지과,02-860-2374
서울특별시 구로구 가마산로 27길 14,37.49772931,126.8918534,구로장애인자립생활센터 8층,2,구로구청 주택과,02-860-2382
서울특별시 구로구 경인로 3길 64,37.49215065,126.8233816,온수역 7호선,2,구로구청 사회복지과,02-860-2374
서울특별시 구로구 구로중앙로 28길 66,37.50010203,126.8893394,구로구보건소 2층,2,구로구청 사회복지과,02-860-2374
서울특별시 구로구 구일로 133,37.49639172,126.8699216,구일역 1호선,2,구로구청 사회복지과,02-860-2374
서울특별시 구로구 남부순환로 105라길 25-10,37.481308,126.890506,성프란치스꼬장애인종합복지관 1층,2,구로구청 사회복지과,02-860-2374
서울특별시 구로구 도림천로 351,37.49330996,126.8949446,대림역 2호선,2,구로구청 사회복지과,02-860-2374
서울특별시 구로구 디지털로 31길 38-21,37.48652247,126.8937149,구로조은장애인자립생활센터 2층,2,구로구청 주택과,02-860-2381
서울특별시 구로구 새말로 지하 117-21,37.50877132,126.891082,신도림역 2호선,2,구로구청 사회복지과,02-860-2374
서울특별시 구로구 오리로 지하 1154,37.48682059,126.8387128,천왕역 7호선,2,구로구청 사회복지과,02-860-2374
서울특별시 금천구 금하로 764,37.44961046,126.9144858,시흥2동 주민센터 1층 민원실 입구,1,시흥2동 주민센터,02-2627-2515
서울특별시 금천구 금하로 21길 20,37.45235581,126.908276,시흥5동 주민센터 1층 민원실 입구,1,시흥5동 주민센터,02-2627-2521
서울특별시 금천구 독산로 70,37.4534966,126.9063238,금천장애인자립생활센터 현대지식산업센터 C동 603호,1,금천장애인자립생활센터,070-4035-4340
서울특별시 금천구 시흥대로 101길 17,37.46397333,126.8963126,금천장애인종합복지관 지하 2층 보장구실,1,금천장애인종합복지관,02-6912-8000
서울특별시 금천구 한내로 69-17,37.4579016,126.8877667,독산1동 주민센터 2층 입구,1,독산1동 주민센터,02-2627-2525
서울특별시 서초구 강남대로 65길 19,37.499819,127.023984,사랑의 복지관 1층 로비,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 남부순환로 2406,37.48024074,127.0142139,예술의 전당 지하 1층 출입구,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 남부순환로 2584,37.4835872,127.032602,서초구청 1층 로비,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 남부순환로 340길 15,37.482068,127.025036,한우리정보문화센터 1층 로비,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 동작대로 86,37.485368,126.982162,이수역 지하 3층 대합실 ES9호기 근처 벽면,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 바우뫼로 7길 11,37.470253,127.024183,우면종합사회복지관 3층 로비,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 방배천로 48,37.480726,126.982771,방배노인종합복지관 1층 로비,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 서초대로 103,37.487645,126.993643,내방역 지하 2층 대합실 기술지원반 입구 벽면,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 서초대로 233,37.491404,127.007665,서초역 3번 출구 모래함 옆,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 서초대로 54길 45,37.4922544,127.016786,중앙노인종합복지관 1층 로비,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 신반포로 11길 40,37.5076669,126.9927035,반포한강공원 반포안내센터 1층,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 신반포로 188,37.503367,127.005063,고속터미널역 7호선 지하 2층 대합실,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 신반포로 241,37.5081254,127.0114957,반포역 지하 2층 대합실 자동사진기 옆 벽면,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 잠원로 4길 46,37.513012,127.011557,잠원역 4번 출구 고객안내센터 옆,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 주흥15길 41,37.511091,127.021345,논현역 지하 2층 대합실 14번 기둥,2,서초구청 사회복지과,02-2155-6682
서울특별시 서초구 효령로 5,37.476658,126.982418,사당역 2호선 14번 출구 현금 인출기 옆,2,서초구청 사회복지과,02-2155-6682
서울특별시 성동구 고산자로 270,37.56342359,127.0369664,성동구청 1층,1,성동구청 장애인복지과,02-2286-5427
서울특별시 성동구 뚝섬로 379,37.5399389,127.0534927,성수이마트 5층 소아과 옆,1,성동구청 장애인복지과,02-2286-5427
서울특별시 성동구 뚝섬로 385-19,37.5395041,127.0540114,성수2가1동 주민센터 지하,1,성동구청 장애인복지과,02-2286-5427
서울특별시 성동구 뚝섬로 1길 43,37.545389,127.047088,성동재활의원 입구 오른편 데스크쪽,1,성동구청 장애인복지과,02-2286-5427
서울특별시 성동구 마장로 23길 10,37.56707915,127.0332148,성동구보건소 후문 자전거보관소 옆,1,성동구청 장애인복지과,02-2286-5427
서울특별시 성동구 마장로 42길 11,37.566253,127.0453926,마장동 주민센터 입구 계단 옆,1,성동구청 장애인복지과,02-2286-5427
서울특별시 성동구 왕십리광장로 17,37.561268,127.038004,왕십리역 경의중앙선 출입구 옆,1,성동구청 장애인복지과,02-2286-5427
서울특별시 성동구 청계천로 506,37.57022175,127.0334425,성동장애인종합복지관 1층 바깥,1,성동구청 장애인복지과,02-2286-5427
서울특별시 성동구 청계천로 516,37.57072971,127.0341582,한국장애인기업협회 생활회관 2층 엘리베이터 우측 코너,1,성동구청 장애인복지과,02-2286-5427
서울특별시 송파구 마천로 57길 7,37.494959,127.152762,마천역 지하 2층 편의점 옆,1,송파구청 장애인복지과,02-2147-5000
서울특별시 송파구 송파대로 257,37.492528,127.118693,가락시장역 지하 1층 대합실,1,송파구청 장애인복지과,02-2147-5000
서울특별시 송파구 송파대로 6,37.470357,127.12668,복정역 지하 1층 대합실,1,송파구청 장애인복지과,02-2147-5000
서울특별시 송파구 양산로 5,37.4898905,127.1427859,송파구보건지소 1층 심장제세동기 옆,1,송파구청 장애인복지과,02-2147-5000
서울특별시 송파구 양재대로 1233,37.51677475,127.131254,올림픽공원역 양재대로 1233,1,송파구청 장애인복지과,02-2147-5000
서울특별시 송파구 오금로 11길 68,37.5146017,127.1141775,방이복지관 4층,1,송파구청 장애인복지과,02-2147-5000
서울특별시 송파구 올림픽로 23,37.511017,127.077629,종합운동장역 9번 출구 안전관리실 앞,1,송파구청 장애인복지과,02-2147-5000
서울특별시 송파구 올림픽로 305,37.5149545,127.1042019,잠실역 지하 2층 출입구,1,송파구청 장애인복지과,02-2147-5000
서울특별시 송파구 올림픽로 326,37.5146098,127.1061641,송파구청 1층 종합상황실 옆,2,송파구청 장애인복지과,02-2147-5000
서울특별시 송파구 올림픽로 383,37.51762309,127.1124284,몽촌토성역 지하 2층 고객상담실 옆,1,송파구청 장애인복지과,02-2147-5000
서울특별시 영등포구 경인로 114가길 9,37.51774313,126.914595,신길역 환승엘리베이터 앞,2,신길역,02-2639-3553
서울특별시 영등포구 국제금융로 124,37.5176416,126.9346142,여의동 주민센터 입구 안쪽,2,여의동 주민센터,063-279-7380
서울특별시 영등포구 당산로 123,37.52646,126.895534,영등포보건소 민원실 1층,2,영등포보건소,02-2670-3114
서울특별시 영등포구 당산로 29길 9-3,37.5259388,126.8939684,치매안심센터 입구 안쪽,2,영등포구 치매안심센터,02-831-0855
서울특별시 영등포구 당산로 41가길 7,37.53101007,126.8973491,당산2동 주민센터 입구 안쪽,2,당산2동 주민센터,02-2670-1129
서울특별시 영등포구 대림로 197,37.49831505,126.8980224,대림3동 주민센터 입구 안쪽,2,대림3동 주민센터,02-2670-1424
서울특별시 영등포구 대림로 23길 25,37.49273981,126.8982518,대림2동 주민센터 입구 안쪽,2,대림2동 주민센터,02-2670-1399
서울특별시 영등포구 대방천로 169,37.4993327,126.9098355,신길6동 주민센터 입구 안쪽,2,신길6동 주민센터,02-2670-1329
서울특별시 영등포구 도림로 137,37.49282734,126.8967464,대림역 지하 1층 화장실 옆,2,대림역,02-6311-7441
서울특별시 영등포구 도림로 482,37.5168303,126.8901381,영등포노인종합복지관 입구 안쪽,2,영등포노인종합복지관,02-2068-0075
서울특별시 영등포구 도신로 183,37.5111493,126.911518,영등포사랑나눔푸드마켓 1호점 입구 안쪽,2,영등포사랑나눔푸드마켓 1호점,02-843-1377
서울특별시 영등포구 도신로 27,37.50431765,126.8960596,대림정보문화도서관 1층 로비,2,대림정보문화도서관,02-828-3702
서울특별시 영등포구 도영로 7길 10,37.5094235,126.8959755,도림동 주민센터 입구 안쪽,2,도림동 주민센터,02-2670-1154
서울특별시 영등포구 디지털로 441,37.495432,126.905811,대림1동 주민센터 입구 안쪽,2,영등포구보건소분소,02-2670-4858
서울특별시 영등포구 문래로 20길 49,37.51685495,126.8908938,문래정보문화도서관 1층 로비,2,문래정보문화도서관,02-2629-8605
서울특별시 영등포구 문래로 28길 15,37.51711128,126.8995218,문래동 주민센터 입구 안쪽,2,문래동 주민센터,02-2670-1174
서울특별시 영등포구 버드나루로 22,37.5208529,126.9129013,영등포장애인복지관 정문 입구,2,영등포장애인복지관,02-3667-7979
서울특별시 영등포구 버드나루로 22길 5,37.5309167,126.907597,영등포사랑나눔푸드마켓 2호점 입구 안쪽,2,영등포사랑나눔푸드마켓 2호점,02-2632-1377
서울특별시 영등포구 선유로 43가길 10-8,37.53333074,126.8929164,선유정보문화도서관 1층 로비,2,선유정보문화도서관,02-2163-0800
서울특별시 영등포구 선유로 47길 30,37.536405,126.894075,양평2동 주민센터 입구 안쪽,2,양평2동 주민센터,02-2670-1214
서울특별시 영등포구 신길로 55,37.49753394,126.907977,장애인사랑나눔의집 정문 입구 왼쪽,2,장애인사랑나눔의집,02-846-0042
서울특별시 영등포구 양산로 23길 11,37.52498059,126.8973705,당산1동 주민센터 1층 안쪽,2,당산1동 주민센터,02-2670-1104
서울특별시 영등포구 여의대로 24,37.5221797,126.9199179,여의디지털도서관 1층 로비,2,여의디지털도서관,02-2629-2222
서울특별시 영등포구 여의대방로 43길 10,37.5063687,126.9215136,신길7동 주민센터 입구 안쪽,2,신길7동 주민센터,02-2670-1354
서울특별시 영등포구 영등포로 11길 12,37.52364602,126.8882277,양평1동 주민센터 입구 안쪽,2,양평1동 주민센터,02-2670-1196
서울특별시 영등포구 영등포로 53길 22,37.5203491,126.9106814,영등포동 주민센터 입구 안쪽,2,영등포동 주민센터,02-2670-1053
서울특별시 영등포구 영등포로 84길 24-5,37.5111184,126.921465,신길1동 주민센터 입구 안쪽,2,신길1동 주민센터,02-2670-1239
서울특별시 은평구 가좌로 276-9,37.59385114,126.9132272,(사)서울시지체장애인협회 은평구지회 출입구 오른편,2,서울시지체장애인협회 은평구지회,02-376-1703
서울특별시 은평구 갈현로 11길 30,37.6056209,126.907072,은평재활원 1층 입구 외부,2,은평재활원,02-385-2046
서울특별시 은평구 갈현로 301,37.6236469,126.9166613,길현1동 주민센터 1층 주차장 내부,2,길현1동 주민센터,02-351-5092
서울특별시 은평구 갈현로 11길 30,37.60564517,126.907072,서부장애인종합복지관 정문 입구,2,서부장애인종합복지관,02-351-3982
서울특별시 은평구 갈현로 17길 10,37.61172563,126.9103411,구산동 주민센터 1층 민원실 외부,2,구산동 주민센터,02-351-5152
서울특별시 은평구 백련산로 100,37.5944553,126.9231689,응암2동 주민센터 북카페 내부,2,응암2동 주민센터,02-351-5242
서울특별시 은평구 백련산로 179,37.60067843,126.9267516,응암1동 주민센터 정문,2,응암1동 주민센터,02-3159-4676
서울특별시 은평구 불광로 129-1,37.61839961,126.9328282,독바위역 지하 1층 엘리베이터 옆,2,독바위역,02-6311-6131
서울특별시 은평구 서오릉로 19,37.6028684,126.9256437,은평구장애인이동기기수리센터,1,은평장애인자립생활센터,02-374-0818
서울특별시 은평구 서오릉로 63,37.60604524,126.9229823,역촌역 지하 1층 4번 출구와 엘리베이터 2호기 사이,2,역촌역,02-6311-6111
서울특별시 은평구 수색로 280,37.58351509,126.8936768,수색동 주민센터 1층 민원실,2,수색동 주민센터,02-351-5443
서울특별시 은평구 연서로 415,37.63201412,126.930117,은평노인종합복지관 1층 입구,2,은평노인종합복지관,02-385-1351
서울특별시 은평구 연서로 41길 16,37.62641903,126.9272604,불광2동 주민센터 민원실,2,불광2동 주민센터,02-351-5062
서울특별시 은평구 연서로 59,37.60440124,126.9151783,역촌동 주민센터 1층 입구,2,역촌동 주민센터,02-351-5302
서울특별시 은평구 연서로 20길 24-3,37.61414879,126.9207931,대조동 주민센터 민원실,2,대조동 주민센터,02-351-5182
서울특별시 은평구 은평로 195,37.60245422,126.9293311,은평구청 은평구의회 1층,2,은평구청 장애인복지과,02-351-7313
서울특별시 은평구 증산로 306,37.584001,126.909774,증산역 여직원휴게실 옆 지하 1층 대합실,2,증산역,02-6311-6171
서울특별시 은평구 증산로 400,37.59184178,126.9139102,새절역 대합실 아이센터 옆,2,새절역,02-6311-6161
서울특별시 은평구 증산로 477,37.59875465,126.9155147,응암역 지하 1층 엘리베이터 우측 전실 앞,2,응암역,02-6311-6101
서울특별시 은평구 통일로 723-1,37.61020618,126.9299846,불광역 고객서비스센터 앞,2,불광역,02-6110-3221
서울특별시 은평구 통일로 849,37.61896756,126.9211781,연신내역 대합실 공공전화박스 옆,2,연신내역,02-6110-3211
서울특별시 종로구 종로 55,37.570148,126.983221,종각역 1호선 지하 1층 대합실,2,종로구청 사회복지과,02-2148-2564
서울특별시 종로구 종로 129,37.570286,126.99283,종로3가역 1호선 12번 출구 방향,2,종로구청 사회복지과,02-2148-2565
서울특별시 종로구 종로 359,37.573255,127.016645,동묘앞역 1호선 상선 승강장 2-2지점,2,종로구청 사회복지과,02-2148-2566
서울특별시 종로구 율곡로 62,37.576488,126.985405,안국역 3호선 지하2층 대합실,2,종로구청 사회복지과,02-2148-2567
서울특별시 종로구 대학로 120,37.581312,127.002187,혜화역 4호선 2번 출구 모래함 옆,2,종로구청 사회복지과,02-2148-2568
서울특별시 종로구 율곡로 308,37.570009,127.009356,4호선 8번 출구 방향,2,종로구청 사회복지과,02-2148-2569
서울특별시 종로구 세종대로 175,37.571748,126.975194,5호선 8번 출구,2,종로구청 사회복지과,02-2148-2570
서울특별시 종로구 삼봉로 43,37.572791,126.979177,별관 1층 민원실,2,종로구청 사회복지과,02-2148-2571
서울특별시 종로구 자하문로19길 36,37.581793,126.969226,종로구보건소 2층 엘리베이터 옆,2,종로구청 사회복지과,02-2148-2572
서울특별시 종로구 종로17길 8,37.570679,126.988958,종로2가 우체국 3층,2,종로구청 사회복지과,02-2148-2573
서울특별시 종로구 새문안로 55,37.570058,126.970529,경희궁미술관 1층 로비,2,종로구청 사회복지과,02-2148-2574
서울특별시 종로구 세종대로 172,37.571256,126.976939,광화문역 해치마당 9번 출구,2,종로구청 사회복지과,02-2148-2575
